domain,pc1,ts,in_deg,out_deg
naturalhealth365.com,0.105014708866534,20250127,685,1054
theforbiddenknowledge.com,0.103489056918317,20250127,321,4
sonsoflibertymedia.com,0.103216003511302,20250127,287,0
nvic.org,0.0936019688779002,20250127,889,588
jesus-is-savior.com,0.0928594665531297,20250127,559,1151
dcdirtylaundry.com,0.0916982813557337,20250127,150,12
usareally.com,0.0916982813557337,20250127,34,2
creation.com,0.0914843426995647,20250127,3,5
cfact.org,0.0914843426995647,20250127,501,4
fabiosa.com,0.0905862324182262,20250127,124,0
trump.news,0.0903891710036623,20250127,336,527
wakingtimes.com,0.0901725391626428,20250127,1095,3691
majalla.com,0.0901558716143552,20250127,178,26
worldnewspolitics.com,0.0901558716143552,20250127,16,1
freedomadvocates.org,0.0886084846223804,20250127,70,82
shoebat.com,0.0886084846223804,20250127,466,1468
americanjournalreview.com,0.0878375859873984,20250127,19,0
welovetrump.com,0.0871406069110147,20250127,2,2
explainlife.com,0.0866873538647112,20250127,18,0
truthuncensored.net,0.0853217706757043,20250127,57,0
learntherisk.org,0.0772812008277641,20250127,141,0
pdmj.org,0.075993329502495,20250127,62,0
gaia.com,0.075993329502495,20250127,116,0
nowtheendbegins.com,0.0731174714253107,20250127,542,554
consumerwellness.org,0.0731174714253107,20250127,65,12
counterthink.com,0.0723314494829261,20250127,50,5
newstarget.com,0.0723314494829261,20250127,1462,7656
climate.news,0.0723314494829261,20250127,1736,3780
awarenessact.com,0.0705539230341695,20250127,224,1669
chlorellafactor.com,0.0622998357836465,20250127,14,14
alternativenews.com,0.0622998357836465,20250127,648,0
biodefense.com,0.0622998357836465,20250127,13,37
darkjournalist.com,0.0603583657276983,20250127,50,0
skeptiko.com,0.0603583657276983,20250127,172,259
biggovernment.news,0.060130193404361,20250127,238,696
bugout.news,0.0594239791741224,20250127,62,574
campusinsanity.com,0.0594239791741224,20250127,84,634
ecology.news,0.0594239791741224,20250127,62,183
conspiracydailyupdate.com,0.0575930709941221,20250127,38,0
geoengineeringwatch.org,0.057482507650514,20250127,926,2176
humansarefree.com,0.0572211982440859,20250127,7,0
beforeitsnews.com,0.0560036536327054,20250127,3716,1385
infowars.com,0.0458475179096454,20250127,2,3
prisonplanet.com,0.0447515223913456,20250127,1690,0
stormfront.org,0.0447515223913456,20250127,585,4053
rense.com,0.0447515223913456,20250127,2825,632
pandemic.news,0.0438171358377697,20250127,447,601
davidicke.com,0.0416143549077332,20250127,1334,0
worldtruth.tv,0.017643643892146,20250127,348,0
naturalnews.com,0.0,20250127,8025,8636
