domain,pc1,ts,in_deg,out_deg
apnews.com,0.998049167729267,20250127,66304,0
charitynavigator.org,0.985751566494374,20250127,9924,1073
rollcall.com,0.982850843623789,20250127,5,0
smithsonianmag.com,0.971184072481041,20250127,29646,22687
climateactiontracker.org,0.970824619355302,20250127,2452,89
stripes.com,0.970705909096091,20250127,5099,537
drugs.com,0.965142662952843,20250127,6,1
africacheck.org,0.964973906244947,20250127,860,0
usaspending.gov,0.964973906244947,20250127,1625,2
cbo.gov,0.964973906244947,20250127,6742,181
nature.com,0.964534054690512,20250127,0,27
cdc.gov,0.964445730133301,20250127,187973,4270
leadstories.com,0.963826303031933,20250127,627,7045
climatefeedback.org,0.963420694296498,20250127,348,544
sandiegouniontribune.com,0.961102639657948,20250127,3,10
indystar.com,0.957207994613488,20250127,9,0
nasa.gov,0.956315766887341,20250127,41128,1506
hopkinsmedicine.org,0.956072309009315,20250127,30696,1364
armytimes.com,0.955899260798174,20250127,2432,1180
skepticalinquirer.org,0.95553129695965,20250127,590,0
afp.com,0.954600577620557,20250127,4495,116
cnet.com,0.951854977853014,20250127,5,0
militarytimes.com,0.951497998550873,20250127,4682,2194
nationmaster.com,0.950775844278038,20250127,2152,229
prri.org,0.950775844278038,20250127,1515,536
truthorfiction.com,0.950775844278038,20250127,0,10
bringmethenews.com,0.950669426837722,20250127,875,503
upi.com,0.950555959253076,20250127,0,5
americanscientist.org,0.950370235542603,20250127,1976,0
airspacemag.com,0.950370235542603,20250127,1121,0
tennessean.com,0.949767015915909,20250127,4,0
newsnationnow.com,0.946742643739216,20250127,3296,0
arstechnica.com,0.946362498302995,20250127,30882,0
verafiles.org,0.944724772225377,20250127,229,1258
biomedcentral.com,0.944319163489942,20250127,6964,0
aaas.org,0.944319163489942,20250127,4024,0
apa.org,0.944319163489942,20250127,42446,0
nejm.org,0.944319163489942,20250127,12,0
medpagetoday.com,0.944057016812522,20250127,6,0
voanews.com,0.943723767994693,20250127,16465,1759
edge.org,0.942677265108602,20250127,13,22
skeptoid.com,0.942677265108602,20250127,765,1140
afr.com,0.941320926225632,20250127,3,32
syracuse.com,0.940444469429823,20250127,5,0
newscientist.com,0.935582630250769,20250127,23636,0
sciencebasedmedicine.org,0.935582630250769,20250127,2385,1477
csmonitor.com,0.935094190129455,20250127,15276,3302
eagletribune.com,0.934656389724824,20250127,1059,0
medscape.com,0.934094911736869,20250127,12063,0
patch.com,0.933491002134259,20250127,5,0
