domain,label
115.49.3.89,0
enable-rest.data-api-access-install.in.net,0
59.184.252.125,0
117.209.84.224,0
61.53.126.193,0
94.156.152.67,0
170.246.163.25,0
98.128.185.13,0
130.12.180.43,0
42.235.0.99,0
42.231.47.95,0
39.88.7.70,0
42.230.29.45,0
110.36.15.184,0
45.194.92.35,0
45.137.70.87,0
45.147.202.53,0
117.216.68.36,0
93.157.253.209,0
cdn.jsdelivr.net,0
222.140.178.17,0
158.94.210.68,0
115.59.26.64,0
42.235.119.71,0
123.5.152.53,0
27.204.194.122,0
181.103.0.102,0
assets.gametools.win,0
222.141.10.50,0
45.148.120.23,0
169.40.135.122,0
104.218.50.158,0
182.126.93.131,0
42.6.247.2,0
42.235.95.240,0
45.144.54.79,0
59.42.89.1,0
115.63.14.227,0
193.233.248.201,0
219.157.179.92,0
182.187.137.7,0
110.37.5.113,0
115.55.84.233,0
42.224.24.237,0
115.55.54.103,0
103.67.244.205,0
158.94.208.27,0
141.98.10.64,0
github.com,0
betbobgunceladres.com,0
59.177.97.194,0
61.54.202.71,0
110.36.16.78,0
olekndx.hoyenoy.com,0
185.198.234.72,0
chrome.download-google-chrome.top,0
googdownload.googcdngoogleownload.top,0
185.0xc6.234.72,0
219.157.236.219,0
raw.githubusercontent.com,0
123.190.21.96,0
115.54.170.65,0
59.88.232.89,0
125.41.74.253,0
115.48.150.72,0
182.117.6.200,0
112.242.31.95,0
115.57.82.213,0
103.28.38.18,0
42.229.146.154,0
42.239.188.251,0
110.37.97.200,0
172.245.10.175,0
182.121.215.194,0
59.97.253.91,0
42.235.51.69,0
60.23.238.11,0
219.157.208.243,0
125.41.175.194,0
175.173.19.169,0
115.55.220.152,0
117.215.219.52,0
123.14.252.195,0
175.148.210.121,0
182.121.133.130,0
123.14.185.42,0
110.37.73.233,0
42.230.30.124,0
42.227.236.83,0
222.142.211.148,0
46.38.156.31,0
42.228.217.238,0
123.14.212.72,0
120.61.243.25,0
125.45.60.254,0
115.55.220.124,0
117.241.87.158,0
123.188.5.163,0
222.243.95.50,0
117.205.80.33,0
60.23.239.252,0
77.210.147.248,0
115.56.146.116,0
117.235.96.149,0
42.5.2.87,0
110.37.99.51,0
125.41.3.96,0
123.14.214.31,0
61.54.253.42,0
42.225.202.57,0
59.96.139.144,0
124.94.245.131,0
182.119.57.185,0
130.12.180.20,0
113.229.231.129,0
58.255.46.235,0
110.37.5.27,0
vmi3032137.contaboserver.net,0
125.41.6.31,0
196.251.107.61,0
175.148.153.214,0
42.55.184.72,0
118.81.177.30,0
61.53.135.185,0
bigbins.rebirth.st,0
115.48.53.124,0
82.23.183.82,0
36.64.191.18,0
117.209.9.20,0
95.158.180.155,0
42.228.85.231,0
42.227.197.83,0
115.63.12.179,0
42.53.17.68,0
115.50.202.51,0
117.205.82.39,0
222.141.188.251,0
61.53.140.93,0
117.193.137.100,0
125.41.5.182,0
119.167.25.248,0
119.179.239.109,0
60.23.139.72,0
182.126.86.87,0
221.15.197.223,0
61.53.126.124,0
221.15.191.169,0
182.117.43.206,0
42.225.221.27,0
115.55.224.167,0
120.84.213.159,0
175.146.48.188,0
91.220.69.49,0
130.12.180.22,0
117.212.62.114,0
123.14.253.0,0
175.165.84.172,0
39.64.186.6,0
117.245.221.158,0
116.140.189.210,0
161.97.112.116,0
61.176.189.162,0
219.157.177.67,0
42.87.141.9,0
182.121.250.87,0
182.113.8.145,0
42.235.166.147,0
125.43.124.82,0
115.55.51.75,0
95.164.55.32,0
80.253.249.145,0
125.40.112.110,0
110.36.29.76,0
175.165.87.214,0
60.23.200.90,0
175.173.106.145,0
59.184.246.114,0
42.87.138.214,0
ns2.52m3kn4.secured-dns.cc,0
158.94.208.251,0
87.121.79.9,0
91.92.242.249,0
110.38.221.182,0
125.42.32.161,0
103.93.93.211,0
77.236.74.65,0
182.127.29.191,0
88.135.90.46,0
173.28.101.7,0
123.11.6.171,0
182.60.7.4,0
23.92.130.154,0
192.3.136.228,0
107.174.33.21,0
115.56.144.238,0
117.254.182.169,0
193.39.208.185,0
securityfax.servemp3.com,0
45.156.87.107,0
14.103.175.50,0
47.86.60.178,0
112.124.36.95,0
104.168.94.108,0
152.136.159.25,0
47.110.66.57,0
42.117.123.110,0
190.108.228.116,0
138.97.180.71,0
85.187.237.98,0
61.3.97.195,0
185.168.174.117,0
93.235.89.207,0
92.41.144.12,0
113.221.11.172,0
77.189.92.174,0
42.224.4.220,0
89.125.60.223,0
192.177.26.244,0
105.158.29.81,0
118.232.137.101,0
116.139.106.179,0
39.86.83.161,0
60.23.238.64,0
42.225.10.122,0
almacensantangel.com,0
110.37.104.96,0
123.190.140.0,0
27.215.59.244,0
61.54.232.240,0
cold8.gofile.io,0
112.163.117.220,0
160.30.173.101,0
27.215.182.113,0
123.5.115.161,0
42.177.197.129,0
182.116.92.93,0
213.43.164.121,0
110.39.243.94,0
27.217.165.181,0
117.214.225.67,0
61.52.185.105,0
182.126.124.3,0
112.239.123.151,0
182.112.77.169,0
175.175.24.17,0
146.66.246.189,0
113.236.139.115,0
27.37.81.108,0
115.52.239.220,0
123.4.144.198,0
42.228.47.149,0
182.121.81.191,0
42.54.103.58,0
222.127.154.105,0
46.163.184.136,0
125.43.8.23,0
110.37.1.162,0
117.211.38.251,0
117.209.31.135,0
42.234.189.139,0
220.158.234.23,0
94.156.170.95,0
115.55.218.212,0
unruffled-chaum.185-36-205-153.plesk.page,0
60.23.236.101,0
110.37.124.229,0
185.36.205.153,0
108.170.151.197,0
42.87.186.242,0
125.41.139.0,0
27.202.59.170,0
119.116.34.116,0
117.209.26.72,0
42.178.169.22,0
118.34.109.121,0
39.187.66.105,0
125.43.226.234,0
124.94.231.103,0
59.54.88.94,0
59.88.45.221,0
115.58.94.190,0
42.177.61.181,0
117.193.153.13,0
182.113.39.143,0
60.23.235.129,0
27.37.104.40,0
165.245.129.3,0
103.124.93.149,0
182.127.164.201,0
41.251.93.254,0
113.236.149.161,0
182.114.32.195,0
117.209.87.45,0
123.12.22.60,0
221.15.12.54,0
116.140.132.50,0
gl1g7tts-5500.euw.devtunnels.ms,0
wilknnson.com,0
175.165.82.36,0
42.226.229.33,0
117.215.52.221,0
59.96.105.6,0
115.56.155.44,0
185.97.113.40,0
219.157.63.133,0
221.15.10.60,0
59.96.141.65,0
42.235.92.10,0
110.36.0.104,0
115.53.218.143,0
110.37.115.91,0
27.217.49.254,0
175.150.91.153,0
125.44.221.27,0
182.116.55.229,0
42.53.26.68,0
167.71.78.186,0
42.233.104.202,0
106.40.241.149,0
221.15.5.23,0
42.179.148.170,0
176.90.117.8,0
222.140.128.178,0
175.173.120.52,0
123.10.24.175,0
182.117.3.159,0
110.36.17.177,0
115.56.2.83,0
110.37.11.66,0
92.119.164.21,0
183.196.29.73,0
42.225.71.218,0
42.54.10.251,0
14.1.104.108,0
115.61.12.224,0
115.50.212.175,0
182.113.2.112,0
115.49.74.146,0
175.150.183.205,0
117.206.70.39,0
117.198.12.10,0
59.97.251.195,0
61.53.123.56,0
123.12.11.4,0
115.55.52.168,0
117.209.83.122,0
94.230.141.123,0
115.48.21.48,0
182.119.51.67,0
61.53.81.64,0
182.127.5.158,0
213.43.193.43,0
119.187.235.93,0
42.227.130.16,0
5.175.136.77,0
124.131.212.202,0
60.18.121.49,0
bot.taphoanxn.cfd,0
112.225.204.66,0
31.58.58.212,0
175.175.206.235,0
83.168.110.34,0
123.179.231.52,0
123.10.131.219,0
103.143.167.155,0
219.156.0.21,0
39.79.133.125,0
125.41.93.16,0
117.196.166.0,0
dongfeng.serveftp.com,0
185.50.148.169,0
130.162.189.29,0
194.110.247.71,0
45.83.207.194,0
83.168.110.127,0
198.96.88.70,0
219.156.24.147,0
117.219.153.123,0
147.45.60.206,0
150.241.124.218,0
sdufkghdfshds.cfd,0
193.221.201.191,0
